,title,year_publication
696,triumph of the will,1935
697,before sunset,2004
698,moonfleet,1955
699,cure,1997
700,antonio das mortes,1969
701,wake in fright,1971
702,the tiger of eschnapur,1958
703,the circus,1928
704,sauve qui peut (la vie),1980
705,"4 months, 3 weeks and 2 days",2007
706,ace in the hole,1951
707,gimme shelter,1970
708,akira,1988
709,love me tonight,1932
710,rushmore,1998
711,robocop,1987
712,the big heat,1953
713,the manchurian candidate,1962
714,carol,2015
715,"oh, sun",1967
716,a hard day's night,1964
717,"new york, new york",1977
718,the great beauty,2013
719,flaming creatures,1963
720,dancer in the dark,2000
721,salesman,1969
722,design for living,1933
723,la belle noiseuse,1991
724,my own private idaho,1991
725,the emperor's naked army marches on,1987
726,the age of the earth,1980
727,vive l'amour,1994
728,ben-hur,1959
729,fish tank,2009
730,hellzapoppin',1941
731,les dames du bois de boulogne,1945
732,ossessione,1943
733,the trial,1962
734,distant,2002
735,kaagaz ke phool,1959
736,subarnarekha,1965
737,wings,1966
738,born in flames,1983
739,the bad and the beautiful,1952
740,a prophet,2009
741,zelig,1983
742,the wild child,1970
743,mother and son,1997
744,lolita,1962
745,"diaries, notes and sketches",1969
746,a place in the sun,1951
747,a new leaf,1971
748,foolish wives,1922
749,the man who would be king,1975
750,un chant d'amour,1950
751,good morning,1959
752,raising arizona,1987
753,mr. smith goes to washington,1939
754,hunger,2008
755,cairo station,1958
756,the adventures of prince achmed,1926
757,rebel without a cause,1955
758,roma,2018
759,young frankenstein,1974
760,detour,1945
761,fort apache,1948
762,the 39 steps,1935
763,phantom of the paradise,1974
764,taipei story,1985
765,stand by me,1986
766,two english girls,1971
767,passion,1982
768,funny games,1997
769,great expectations,1946
770,miller's crossing,1990
771,the ballad of narayama,1983
772,the killing,1956
773,abraham's valley,1993
774,when harry met sally...,1989
775,blissfully yours,2002
776,code unknown,2000
777,les diaboliques,1955
778,the firemen's ball,1967
779,mädchen in uniform,1931
780,titicut follies,1967
781,morocco,1930
782,the fly,1986
783,red beard,1965
784,chikamatsu monogatari,1954
785,"the cook, the thief, his wife & her lover",1989
786,mamma roma,1962
787,dog star man,1964
788,dazed and confused,1993
789,my life as a dog,1985
790,moulin rouge!,2001
791,the new world,2005
792,duck amuck,1953
793,veronika voss,1982
794,still life,2006
795,gummo,1997
796,dodes'ka-den,1970
797,trouble every day,2001
798,she wore a yellow ribbon,1949
799,street of shame,1956
800,dumbo,1941
801,all quiet on the western front,1930
802,a streetcar named desire,1951
803,big deal on madonna street,1958
804,broadcast news,1987
805,women on the verge of a nervous breakdown,1988
806,smiles of a summer night,1955
807,malcolm x,1992
808,el sur,1983
809,a woman of paris,1923
810,jfk,1991
811,van gogh,1991
812,rose hobart,1936
813,the social network,2010
814,requiem for a dream,2000
815,the son,2002
816,"faster, pussycat! kill! kill!",1965
