,title,year_publication,budget,revenue,runtime,genre_ids,original_language,popularity,id_movie,vote_average,vote_count
112,the band wagon,1953,2900000,3500000.0,112.0,"[35, 10402, 10749]",en,7.466,29376,7.2,181.0
113,the thin red line,1998,52000000,98126565.0,171.0,"[18, 36, 10752]",en,17.974,8741,7.452,2608.0
114,the best years of our lives,1946,2100000,23650000.0,171.0,"[18, 10749, 10752]",en,12.561,887,7.8,528.0
115,parasite,2019,800000,7000000.0,85.0,"[27, 878]",en,7.4,48311,4.9,47.0
116,meet me in st. louis,1944,1707561,7566000.0,113.0,"[35, 18, 10749, 10751]",en,7.979,909,7.021,313.0
117,daughters of the dust,1991,800000,0.0,112.0,"[18, 10749]",en,5.565,68427,6.654,39.0
118,caché,2005,8731048,36000000.0,117.0,"[9648, 18, 53]",fr,9.463,445,7.063,917.0
119,red river,1948,3000000,9012000.0,133.0,"[37, 18, 10749]",en,13.322,3089,7.4,431.0
120,eternal sunshine of the spotless mind,2004,20000000,72258126.0,108.0,"[878, 18, 10749]",en,39.128,38,8.1,13329.0
121,schindler's list,1993,22000000,321365567.0,195.0,"[18, 36, 10752]",en,49.208,424,8.569,14036.0
122,the big lebowski,1998,15000000,46969409.0,117.0,"[35, 80]",en,26.32,115,7.844,10076.0
123,the cabinet of dr. caligari,1920,18000,8811.0,78.0,"[18, 27, 53, 80]",de,16.61,234,7.959,1308.0
124,heat,1995,60000000,187436818.0,170.0,"[28, 80, 18, 53]",en,46.494,949,7.899,6230.0
125,the graduate,1967,3000000,104945305.0,106.0,"[35, 18, 10749]",en,17.487,37247,7.657,2911.0
126,the treasure of the sierra madre,1948,3800000,4307000.0,126.0,"[12, 18, 37]",en,17.155,3090,7.997,1008.0
127,fargo,1996,7000000,60611975.0,98.0,"[80, 18, 53]",en,20.067,275,7.869,7029.0
128,eyes wide shut,1999,65000000,162091208.0,159.0,"[18, 53, 9648]",en,29.37,345,7.475,5277.0
129,groundhog day,1993,14600000,71074049.0,101.0,"[10749, 14, 18, 35]",en,20.73,137,7.603,6968.0
130,sweet smell of success,1957,3400000,2500000.0,97.0,[18],en,8.515,976,7.659,388.0
131,the exorcist,1973,18000000,65675816.0,103.0,"[27, 9648, 53]",en,3591.591,758323,7.307,761.0
132,cinema paradiso,1988,5000000,11990401.0,124.0,"[18, 10749]",it,28.137,11216,8.457,3738.0
133,all about my mother,1999,8272296,67872296.0,101.0,"[35, 18]",es,13.026,99,7.663,1627.0
134,paths of glory,1957,935000,0.0,88.0,"[18, 10752]",en,16.908,975,8.277,2452.0
135,the big sleep,1946,1600000,4900000.0,114.0,"[80, 9648, 10749]",en,15.542,910,7.648,870.0
136,mean streets,1973,500000,3000000.0,111.0,"[18, 80]",en,10.122,203,7.106,1810.0
137,back to the future,1985,19000000,381109762.0,116.0,"[12, 35, 878]",en,46.773,105,8.312,17886.0
138,unforgiven,1992,14400000,159157447.0,130.0,[37],en,26.232,33,7.923,3799.0
139,nanook of the north,1922,53000,0.0,79.0,[99],en,10.222,669,7.119,256.0
140,happy together,1997,125000,5000000.0,96.0,"[18, 10749]",cn,17.208,18329,7.6,554.0
141,melancholia,2011,7400000,15946321.0,135.0,"[18, 878]",en,14.717,62215,7.194,3088.0
142,faces,1968,275000,0.0,130.0,[18],en,9.17,753,7.25,168.0
143,the maltese falcon,1941,375000,1772000.0,100.0,"[9648, 80, 53]",en,15.375,963,7.757,1419.0
144,videodrome,1983,5952000,2120439.0,88.0,"[27, 9648, 878]",en,15.057,837,7.297,1863.0
145,monsieur verdoux,1947,2000000,0.0,124.0,"[35, 80, 53]",en,9.763,30588,7.827,358.0
146,la belle et la bête,1946,33000000,49100000.0,112.0,"[14, 10749]",fr,20.267,197796,6.125,1895.0
147,husbands,1970,1000000,0.0,131.0,"[35, 18]",en,6.401,52105,6.855,114.0
148,the kid,1921,65000000,110317580.0,104.0,"[14, 35, 10751]",en,23.262,4244,6.474,824.0
149,the empire strikes back,1980,18000000,538400000.0,124.0,"[12, 28, 878]",en,27.675,1891,8.4,15315.0
150,city of god,2002,3300000,30641770.0,130.0,"[18, 80]",pt,32.091,598,8.423,6445.0
151,cabaret,1972,6000000,0.0,124.0,"[10402, 18, 10749]",en,12.044,10784,7.427,765.0
152,bonnie and clyde,1967,2500000,50700000.0,110.0,"[80, 18]",en,20.697,475,7.493,1381.0
153,all that jazz,1979,12000000,37823676.0,123.0,[18],en,9.473,16858,7.434,394.0
154,weekend,1967,120000,484592.0,96.0,"[18, 10749]",en,9.386,79120,7.311,468.0
155,kiss me deadly,1955,410000,726000.0,106.0,"[9648, 53, 80]",en,7.082,18030,7.2,317.0
156,west side story,1961,100000000,74530532.0,157.0,"[18, 10749, 80]",en,18.987,511809,7.1,1242.0
